word,count
좋다,20806
피부,14052
바르다,7633
자다,7317
않다,6812
너무,5426
느낌,5146
촉촉하다,4908
없이,3972
써다,3939
자극,3370
들다,3359
크림,3021
수분,2590
추천,2550
화장,2527
얼굴,2526
건조하다,2374
효과,2266
순하다,2171
부드럽다,2166
가격,2150
돼다,2026
되어다,1997
선크림,1975
아니다,1960
많이,1931
세안,1907
가볍다,1816
재구매,1805
